num_detectors,num_angles,image_size,source_to_center,center_to_detector,detector_spacing,sparsity,non_zero_elements,total_elements,matrix_shape
313,372,253,910.0117273476477,389.28429525952913,1.6047068212460185,0.9963461197284385,27232194,7452951924,"(116436, 64009)"
300,662,172,812.7130717927134,337.47809594463695,0.8489913400861093,0.993216381286093,39856354,5875382400,"(198600, 29584)"
269,647,114,1086.4078451689613,580.5299894360944,1.129279731442488,0.9935601382101144,14566084,2261862828,"(174043, 12996)"
485,661,135,1123.7721826711306,302.5995038712244,1.7087288777492118,0.9980463041105859,11414784,5842661625,"(320585, 18225)"
472,534,135,862.1917999247127,682.8852288827125,1.00489181766894,0.9951745505483006,22166063,4593574800,"(252048, 18225)"
303,554,88,943.5917521938513,437.5822889915884,0.8967813008330197,0.9931341273690875,8925108,1299923328,"(167862, 7744)"
278,595,201,849.9304651412838,668.918148811264,0.6182002971176872,0.9930766209191761,46267069,6682729410,"(165410, 40401)"
406,681,222,1154.1806991747228,444.6540104667906,0.7884328853849898,0.9947295206228947,71817323,13626336024,"(276486, 49284)"
291,383,233,891.1593102606188,415.75518544084287,0.6196879653854412,0.9940749368844022,35850613,6050671917,"(111453, 54289)"
375,411,161,911.1894412440369,554.27377770576,1.0472482684551263,0.9947651023871804,20913804,3995074125,"(154125, 25921)"
445,541,117,1068.0700697510774,580.7281253834205,1.5253214983050007,0.997099885022365,9557498,3295558305,"(240745, 13689)"
292,671,226,868.4554592792388,591.6507191801397,0.7451037406428926,0.9939406394615304,60638583,10007422832,"(195932, 51076)"
450,498,227,1075.2647833733254,387.8460695881076,0.9864241016229828,0.9960750974165832,45323397,11547648900,"(224100, 51529)"
284,477,72,1122.0183203084857,460.4659148089316,0.5992829078173209,0.9894431243750517,7413736,702266112,"(135468, 5184)"
417,468,231,999.692503796911,653.873261554681,1.4642778053006364,0.9965276498335766,36160080,10413719316,"(195156, 53361)"
329,495,99,898.6510030775934,524.5472536652603,0.8941124127844029,0.9931346271224747,10958109,1596141855,"(162855, 9801)"
475,658,166,944.7985774854444,698.9303111956644,0.7074976173362838,0.9934942100946241,56031947,8612627800,"(312550, 27556)"
508,406,76,1144.4411638666663,361.1365277393044,0.7399730025836754,0.9955416675038554,5311160,1191288448,"(206248, 5776)"
472,665,80,953.9069246698,538.3553713444512,1.2020748316770158,0.996486355255193,7058322,2008832000,"(313880, 6400)"
384,643,66,1072.1133641026074,345.82069719347464,1.8271826751936635,0.9975986284328748,2582792,1075548672,"(246912, 4356)"
392,688,151,844.6208694383506,473.906100267642,1.1805855594938097,0.9956879083795357,26516511,6149338496,"(269696, 22801)"
390,616,109,1003.0726698417301,342.564329119082,1.4379502903496264,0.9969497308936329,8706357,2854291440,"(240240, 11881)"
357,438,159,1105.0043200300606,515.7516120478504,1.6679397179458373,0.9968555062928631,12430463,3953088846,"(156366, 25281)"
256,666,146,995.4422832115791,344.747090128358,1.0444711507714004,0.9935744449618271,23352348,3634292736,"(170496, 21316)"
413,482,78,896.3486369788932,526.942777475564,0.6181355724370492,0.9920729337564612,9600609,1211117544,"(199066, 6084)"
504,395,200,1106.333771722795,351.35658579990513,1.212923567148097,0.9972444092827004,21943320,7963200000,"(199080, 40000)"
340,495,199,1148.973216434103,469.2551760803548,0.8176973081631231,0.9939606661414935,40251244,6664848300,"(168300, 39601)"
358,519,166,1198.0597426643578,559.9512230557814,1.157150125871756,0.9954790698759675,23146981,5119959912,"(185802, 27556)"
487,421,127,889.8789348126229,435.23422485898215,1.38246307768585,0.9971766847795086,9336366,3306880483,"(205027, 16129)"
373,661,120,802.8763355940374,583.1363786193816,0.588310650314485,0.9903664563107234,34202579,3550363200,"(246553, 14400)"
290,376,148,828.3429399554614,395.2018537475981,1.5034666674444208,0.9956690540379765,10344084,2388412160,"(109040, 21904)"
365,636,97,1089.3410263523883,652.9532300562951,1.3643174745813498,0.9959067477934743,8940503,2184205260,"(232140, 9409)"
380,602,168,876.1639657447511,338.7723256915293,1.1465767736095662,0.9959290133259109,26284416,6456522240,"(228760, 28224)"
472,570,183,1145.5346993478413,321.6684748928682,1.4801832323986874,0.9976583840529846,21097680,9009880560,"(269040, 33489)"
306,391,167,1091.285435376473,620.2370043446795,0.663903548367206,0.9921890415886869,26063663,3336807294,"(119646, 27889)"
354,457,201,979.4454191332527,468.7526559337617,0.9178177170004107,0.9943635444340283,36839834,6535992978,"(161778, 40401)"
383,398,177,1123.208897892681,642.3867569873491,0.6468630923024006,0.9929066979957583,33874807,4775604786,"(152434, 31329)"
263,407,256,1139.4782937657221,366.5244442415656,1.2284616881760777,0.9952196888549404,33534069,7015038976,"(107041, 65536)"
365,565,79,865.8548485606108,300.86215134057056,1.0856326363817197,0.99566560582358,5578583,1287050225,"(206225, 6241)"
488,506,172,1078.636601440065,592.2021269661864,1.6750422927264308,0.997579429091195,17682556,7305117952,"(246928, 29584)"
505,439,112,918.6831301978257,687.4837459876635,1.3687704362243842,0.9967736393848231,8972322,2780942080,"(221695, 12544)"
287,520,78,820.0569349055814,490.715406843574,1.8790806962481128,0.9962221254795941,3430220,907976160,"(149240, 6084)"
336,389,194,832.0445860962348,374.32998439228925,1.3925526596750415,0.9960273606764638,19542111,4919175744,"(130704, 37636)"
376,566,94,1176.6384508916358,527.870164055274,1.368378586260816,0.9964122092739107,6746633,1880442176,"(212816, 8836)"
276,677,84,967.689966134349,533.4689157164898,1.2841740732979383,0.9944220301704338,7354150,1318427712,"(186852, 7056)"
389,464,235,1086.476720315766,395.4743810463384,1.0936787701868818,0.9959001909691715,40866452,9967891600,"(180496, 55225)"
409,594,144,1171.6073326822057,674.2937149779293,0.5139731853263696,0.9914068532878006,43289938,5037728256,"(242946, 20736)"
307,397,201,885.2617249068162,406.0801659001605,1.8998890669905637,0.9967950171201506,15781443,4924033479,"(121879, 40401)"
291,485,158,913.9949564866627,475.27382920308395,1.3148269433923803,0.9949228825953202,17888178,3523294140,"(141135, 24964)"
410,673,231,1011.576277040908,567.1452814850334,1.3319034237345166,0.9963371889019792,53930867,14723900730,"(275930, 53361)"
309,428,131,846.1714681676409,342.8143910837671,1.3298354613272239,0.9956330995295452,9911015,2269576572,"(132252, 17161)"
395,504,218,884.2518619227773,437.1521151173034,1.5312456932019958,0.9968300524259925,29991121,9461077920,"(199080, 47524)"
391,618,189,900.4485008279577,663.2636184874287,0.576198340493796,0.9929305561637602,61020265,8631550998,"(241638, 35721)"
472,501,75,801.4182756351129,608.4476892078508,1.4556700659520694,0.9967364540222756,4341022,1330155000,"(236472, 5625)"
390,442,253,976.7342047443402,582.2669787039963,1.3413602971621197,0.9960953480097741,43083428,11033871420,"(172380, 64009)"
313,398,240,1161.5714286239572,518.236115682209,1.751892529829025,0.9966240745683511,24223826,7175462400,"(124574, 57600)"
331,580,96,816.7315432675431,445.8606061309024,1.8996320157809812,0.9968641623051374,5548199,1769287680,"(191980, 9216)"
276,543,117,1072.8266753242306,566.7733642542172,1.0305179519219276,0.9931480638506239,14057042,2051543052,"(149868, 13689)"
464,677,255,861.8213353328819,671.9524062774698,1.796908544329946,0.9972519169180452,56132821,20426173200,"(314128, 65025)"
346,571,70,871.7442653672828,669.7949180966182,1.6735797442214475,0.9961087175827783,3767047,968073400,"(197566, 4900)"
466,702,252,1124.2997266297557,406.72228383778884,1.6810617637032066,0.9977726173764685,46272071,20774190528,"(327132, 63504)"
311,555,73,1143.4373005351126,388.97348701826576,1.7248799083953934,0.9968174487212765,2927349,919812045,"(172605, 5329)"
491,539,142,1128.2145523886247,648.5292143452033,0.8343853208087135,0.9950958503604519,26170418,5336382436,"(264649, 20164)"
354,564,148,911.4412244092016,327.76830186512797,1.6599899561605416,0.99704417502048,12926606,4373265024,"(199656, 21904)"
435,688,194,959.8713537440244,692.459874879304,1.3043235987180828,0.9961171908943103,43734805,11263702080,"(299280, 37636)"
270,419,130,871.4271264689854,685.0137263046222,0.898199543784453,0.9910263628218465,17156670,1911897000,"(113130, 16900)"
311,665,175,938.2748446719202,614.5712712814727,1.1545908258059119,0.9941469163163174,37071731,6333709375,"(206815, 30625)"
315,557,211,876.0315098009185,317.75461348529245,1.1540862731824584,0.9952179802964438,37354422,7811432055,"(175455, 44521)"
356,546,174,827.9895244505241,565.695073964509,0.9953000540638945,0.9939819468737691,35415808,5884927776,"(194376, 30276)"
416,699,95,1087.9017052055801,420.12890728450566,0.9639269933129799,0.9955943378367379,11561892,2624325600,"(290784, 9025)"
465,527,167,1078.8833656777597,521.7649910667175,0.7877601394852212,0.9948276622592038,35349509,6834338895,"(245055, 27889)"
450,706,255,1161.122218293033,546.2059663805522,0.9514248118483479,0.9956954180355078,88925959,20658442500,"(317700, 65025)"
256,515,137,884.0730739530568,614.303530991032,1.4099923557196439,0.9940035464709677,14838254,2474504960,"(131840, 18769)"
